name,hash table size,exact distinct,approximated distinct default,approximated distinct md5,approximated distinct sha256
dunwichHorror.txt,1000,4830,995,990,995
dunwichHorror.txt,2000,4830,1807,1827,1836
dunwichHorror.txt,3000,4830,2399,2421,2391
dunwichHorror.txt,4000,4830,2795,2804,2801
dunwichHorror.txt,5000,4830,3085,3155,3098
dunwichHorror.txt,6000,4830,3298,3311,3323
dunwichHorror.txt,7000,4830,3470,3497,3480
dunwichHorror.txt,8000,4830,3625,3630,3628
dunwichHorror.txt,9000,4830,3716,3724,3729
dunwichHorror.txt,10000,4830,3810,3897,3826
dunwichHorror.txt,11000,4830,3885,3923,3928
dunwichHorror.txt,12000,4830,3972,3971,3969
dunwichHorror.txt,13000,4830,4018,4008,4067
dunwichHorror.txt,14000,4830,4065,4123,4054
dunwichHorror.txt,15000,4830,4112,4162,4116
dunwichHorror.txt,16000,4830,4174,4187,4161
dunwichHorror.txt,17000,4830,4208,4232,4220
dunwichHorror.txt,18000,4830,4222,4188,4234
dunwichHorror.txt,19000,4830,4261,4221,4267
dunwichHorror.txt,20000,4830,4265,4338,4294
dunwichHorror.txt,21000,4830,4309,4332,4292
dunwichHorror.txt,22000,4830,4309,4338,4358
dunwichHorror.txt,23000,4830,4327,4376,4341
dunwichHorror.txt,24000,4830,4362,4375,4375
dunwichHorror.txt,25000,4830,4375,4439,4378
dunwichHorror.txt,26000,4830,4407,4394,4415
dunwichHorror.txt,27000,4830,4419,4405,4430
dunwichHorror.txt,28000,4830,4435,4466,4444
dunwichHorror.txt,29000,4830,4442,4419,4446
dunwichHorror.txt,30000,4830,4451,4481,4445
dunwichHorror.txt,31000,4830,4463,4467,4438
dunwichHorror.txt,32000,4830,4491,4521,4483
dunwichHorror.txt,33000,4830,4481,4506,4508
dunwichHorror.txt,34000,4830,4519,4538,4516
dunwichHorror.txt,35000,4830,4521,4521,4481
dunwichHorror.txt,36000,4830,4526,4492,4519
dunwichHorror.txt,37000,4830,4499,4536,4529
dunwichHorror.txt,38000,4830,4521,4501,4539
dunwichHorror.txt,39000,4830,4525,4527,4547
dunwichHorror.txt,40000,4830,4544,4579,4555
dunwichHorror.txt,41000,4830,4528,4578,4546
dunwichHorror.txt,42000,4830,4557,4588,4552
dunwichHorror.txt,43000,4830,4594,4559,4586
dunwichHorror.txt,44000,4830,4557,4598,4577
dunwichHorror.txt,45000,4830,4571,4590,4567
dunwichHorror.txt,46000,4830,4584,4615,4571
dunwichHorror.txt,47000,4830,4576,4587,4607
dunwichHorror.txt,48000,4830,4588,4596,4597
dunwichHorror.txt,49000,4830,4595,4610,4607
dunwichHorror.txt,50000,4830,4583,4632,4592
dunwichHorror.txt,51000,4830,4619,4607,4612
dunwichHorror.txt,52000,4830,4607,4575,4612
dunwichHorror.txt,53000,4830,4625,4617,4600
dunwichHorror.txt,54000,4830,4621,4611,4626
dunwichHorror.txt,55000,4830,4593,4631,4641
dunwichHorror.txt,56000,4830,4634,4637,4617
dunwichHorror.txt,57000,4830,4636,4627,4637
dunwichHorror.txt,58000,4830,4642,4624,4642
dunwichHorror.txt,59000,4830,4635,4651,4639
dunwichHorror.txt,60000,4830,4637,4655,4617
dunwichHorror.txt,61000,4830,4648,4642,4626
dunwichHorror.txt,62000,4830,4646,4647,4599
dunwichHorror.txt,63000,4830,4644,4652,4628
dunwichHorror.txt,64000,4830,4660,4681,4642
dunwichHorror.txt,65000,4830,4653,4646,4650
dunwichHorror.txt,66000,4830,4637,4666,4663
dunwichHorror.txt,67000,4830,4671,4680,4652
dunwichHorror.txt,68000,4830,4673,4674,4670
dunwichHorror.txt,69000,4830,4651,4679,4638
dunwichHorror.txt,70000,4830,4675,4691,4643
dunwichHorror.txt,71000,4830,4655,4678,4677
dunwichHorror.txt,72000,4830,4667,4666,4672
dunwichHorror.txt,73000,4830,4655,4672,4688
dunwichHorror.txt,74000,4830,4659,4674,4665
dunwichHorror.txt,75000,4830,4663,4688,4669
dunwichHorror.txt,76000,4830,4669,4675,4688
dunwichHorror.txt,77000,4830,4690,4684,4667
dunwichHorror.txt,78000,4830,4675,4690,4687
dunwichHorror.txt,79000,4830,4686,4676,4689
dunwichHorror.txt,80000,4830,4680,4701,4687
dunwichHorror.txt,81000,4830,4669,4690,4693
dunwichHorror.txt,82000,4830,4663,4692,4682
dunwichHorror.txt,83000,4830,4684,4703,4680
dunwichHorror.txt,84000,4830,4696,4716,4700
dunwichHorror.txt,85000,4830,4711,4715,4692
dunwichHorror.txt,86000,4830,4713,4701,4697
dunwichHorror.txt,87000,4830,4674,4690,4690
dunwichHorror.txt,88000,4830,4702,4715,4697
dunwichHorror.txt,89000,4830,4694,4697,4695
dunwichHorror.txt,90000,4830,4696,4708,4696
dunwichHorror.txt,91000,4830,4710,4694,4711
dunwichHorror.txt,92000,4830,4709,4711,4690
dunwichHorror.txt,93000,4830,4712,4708,4700
dunwichHorror.txt,94000,4830,4690,4696,4722
dunwichHorror.txt,95000,4830,4700,4715,4720
dunwichHorror.txt,96000,4830,4702,4723,4721
dunwichHorror.txt,97000,4830,4720,4724,4713
dunwichHorror.txt,98000,4830,4708,4731,4711
dunwichHorror.txt,99000,4830,4722,4708,4731
dunwichHorror.txt,100000,4830,4693,4739,4709
dunwichHorror.txt,101000,4830,4724,4727,4715
dunwichHorror.txt,102000,4830,4735,4725,4713
dunwichHorror.txt,103000,4830,4707,4725,4723
dunwichHorror.txt,104000,4830,4710,4719,4724
dunwichHorror.txt,105000,4830,4730,4732,4701
dunwichHorror.txt,106000,4830,4739,4719,4711
dunwichHorror.txt,107000,4830,4723,4738,4727
dunwichHorror.txt,108000,4830,4716,4709,4723
dunwichHorror.txt,109000,4830,4715,4740,4716
dunwichHorror.txt,110000,4830,4705,4734,4728
dunwichHorror.txt,111000,4830,4706,4738,4721
dunwichHorror.txt,112000,4830,4729,4723,4726
dunwichHorror.txt,113000,4830,4719,4725,4737
dunwichHorror.txt,114000,4830,4731,4724,4736
dunwichHorror.txt,115000,4830,4733,4748,4735
dunwichHorror.txt,116000,4830,4730,4725,4738
dunwichHorror.txt,117000,4830,4708,4709,4747
dunwichHorror.txt,118000,4830,4727,4738,4726
dunwichHorror.txt,119000,4830,4729,4729,4727
dunwichHorror.txt,120000,4830,4735,4741,4724
dunwichHorror.txt,121000,4830,4730,4720,4746
dunwichHorror.txt,122000,4830,4741,4727,4727
